satellite_number,alt_km,size_range,days,err_km
163,3444.04539138863,25-50cm,0.12682392360987488,0.5868252494040533
163,3444.04539138863,25-50cm,0.5289830787038362,1.662894864304647
163,3444.04539138863,25-50cm,0.8581808449079593,3.448076917127201
163,3444.04539138863,25-50cm,1.0093047569443783,3.897632512591548
163,3444.04539138863,25-50cm,1.1362327314802894,4.773163254065371
163,3444.04539138863,25-50cm,1.537664745369995,7.319851064232754
163,3444.04539138863,25-50cm,1.8677550462964507,10.14730609908584
163,3444.04539138863,25-50cm,2.01854783564806,11.365963370709501
163,3444.04539138863,25-50cm,2.139158182869907,12.63415375505871
163,3444.04539138863,25-50cm,2.4426886574068556,15.80641485753777
163,3444.04539138863,25-50cm,3.043325057871364,22.146218224741446
163,3444.04539138863,25-50cm,3.451965138890125,28.530265968603345
163,3444.04539138863,25-50cm,4.043805150464177,37.40892492314065
163,3444.04539138863,25-50cm,4.461044409722089,45.04672385253827
163,3444.04539138863,25-50cm,4.5640572569436495,46.35216489427062
163,3444.04539138863,25-50cm,5.062109976852382,55.88416256601863
163,3444.04539138863,25-50cm,5.463664780093564,64.86077627284418
163,3444.04539138863,25-50cm,6.065128622684214,79.05729594673673
163,3444.04539138863,25-50cm,6.479765682868935,89.76774351029685
163,3444.04539138863,25-50cm,7.072724722220942,106.00598625028061
163,3444.04539138863,25-50cm,7.963565810184788,133.18069031902084
163,3444.04539138863,25-50cm,8.425231226850991,147.37190965432592
163,3444.04539138863,25-50cm,8.498809976850946,150.09207461978593
163,3444.04539138863,25-50cm,9.093827974536904,171.12545435900057
163,3444.04539138863,25-50cm,9.501822812499272,184.86488668217052
163,3444.04539138863,25-50cm,9.982729664351101,204.722593398889
163,3444.04539138863,25-50cm,10.103179363426236,209.27174877435976
163,3444.04539138863,25-50cm,10.51111416666596,223.94804990585448
163,3444.04539138863,25-50cm,11.003720543980599,245.66929784110016
163,3444.04539138863,25-50cm,12.007751655092946,290.77358982643307
163,3444.04539138863,25-50cm,12.425480416665474,309.14752614795873
163,3444.04539138863,25-50cm,13.020494965278992,339.3042332180066
163,3444.04539138863,25-50cm,14.029465775462212,391.7730893325991
163,3444.04539138863,25-50cm,14.141331817129696,398.3586950682836
163,3444.04539138863,25-50cm,14.547863854167087,416.72370529263225
163,3444.04539138863,25-50cm,15.156637303241425,455.029395532703
163,3444.04539138863,25-50cm,15.556858599536397,474.40699164821984
163,3444.04539138863,25-50cm,16.04779010416733,508.6280727153331
163,3444.04539138863,25-50cm,16.56619939814839,536.0751797353864
163,3444.04539138863,25-50cm,17.057618668981725,572.9490213375876
163,3444.04539138863,25-50cm,17.575484988424513,601.546780774284
163,3444.04539138863,25-50cm,17.946683495370326,632.5699393528729
163,3444.04539138863,25-50cm,18.48152104166647,665.1645823721929
163,3444.04539138863,25-50cm,18.58519094907299,670.8756012781563
163,3444.04539138863,25-50cm,18.955985682871606,703.7990904722366
163,3444.04539138863,25-50cm,19.076652187500837,713.0100523301439
163,3444.04539138863,25-50cm,19.484558946757957,735.7573021975002
163,3444.04539138863,25-50cm,20.085872800926918,788.5959924484782
163,3444.04539138863,25-50cm,20.493899016203702,811.817558726178
163,3444.04539138863,25-50cm,20.98097381944458,858.434860126446
163,3444.04539138863,25-50cm,21.99060325231541,941.133997052878
163,3444.04539138863,25-50cm,22.40820547453783,968.7562498450541
163,3444.04539138863,25-50cm,24.001797986110603,1116.0280110770227
163,3444.04539138863,25-50cm,24.4266595023153,1146.4328819255722
163,3444.04539138863,25-50cm,25.021355543980995,1212.3853734500167
163,3444.04539138863,25-50cm,27.039767361112215,1412.1233505377884
163,3444.04539138863,25-50cm,27.38129421296219,1446.9580794156634
163,3444.04539138863,25-50cm,27.558220706019135,1448.6250969387606
163,3444.04539138863,25-50cm,27.81142498842544,1489.138587186496
163,3444.04539138863,25-50cm,27.920948888888514,1499.1263256209486
163,3444.04539138863,25-50cm,28.04921621527661,1517.6544539590418
163,3444.04539138863,25-50cm,28.136204120370525,1517.4197297550713
163,3444.04539138863,25-50cm,29.058698900463405,1626.6879343303133
